date,location,state,latitude,longitude,rainfall_mm,source
2020-01-01,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-01,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-01,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-01,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-01,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-01,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-01,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-01,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-01,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-01,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-02,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-02,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-02,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-02,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-02,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-02,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-02,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-02,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-02,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-02,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-03,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-03,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-03,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-03,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-03,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-03,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-03,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-03,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-03,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-03,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-04,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-04,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-04,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-04,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-04,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-04,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-04,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-04,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-04,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-04,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-05,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-05,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-05,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-05,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-05,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-05,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-05,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-05,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-05,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-05,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-06,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-06,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-06,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-06,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-06,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-06,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-06,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-06,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-06,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-06,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-07,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-07,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-07,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-07,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-07,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-07,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-07,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-07,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-07,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-07,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-08,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-08,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-08,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-08,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-08,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-08,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-08,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-08,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-08,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-08,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-09,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
